tileId,startdate,enddate
30UUA,2020-06-23T00:00:00.000Z,2020-06-24T00:00:00.000Z
30UVA,2020-06-23T00:00:00.000Z,2020-06-24T00:00:00.000Z
30UVB,2020-06-23T00:00:00.000Z,2020-06-24T00:00:00.000Z
30UWB,2020-06-25T00:00:00.000Z,2020-06-26T00:00:00.000Z
30UXB,2020-07-30T00:00:00.000Z,2020-07-31T00:00:00.000Z
30UWC,2020-06-25T00:00:00.000Z,2020-06-26T00:00:00.000Z
29UPR,2020-06-01T00:00:00.000Z,2020-06-02T00:00:00.000Z
30UUC,2020-06-01T00:00:00.000Z,2020-06-02T00:00:00.000Z
30UVC,2020-06-23T00:00:00.000Z,2020-06-24T00:00:00.000Z
31UCS,2023-07-07T00:00:00.000Z,2023-07-08T00:00:00.000Z
31UCT,2023-07-07T00:00:00.000Z,2023-07-08T00:00:00.000Z
31UCU,2023-07-07T00:00:00.000Z,2023-07-08T00:00:00.000Z
30UXE,2023-06-10T00:00:00.000Z,2023-06-11T00:00:00.000Z
30UVD,2023-06-01T00:00:00.000Z,2023-06-02T00:00:00.000Z
30UUD,2023-06-01T00:00:00.000Z,2023-06-02T00:00:00.000Z
